시도,시군구,연도,청소년인구
강원,강릉시,2021,32931
강원,강릉시,2022,31597
강원,강릉시,2023,29925
강원,강릉시,2024,28506
강원,고성군,2021,3070
강원,고성군,2022,2992
강원,고성군,2023,2940
강원,고성군,2024,2760
강원,동해시,2021,14333
강원,동해시,2022,13696
강원,동해시,2023,13153
강원,동해시,2024,12591
강원,동해출장소,2021,0
강원,동해출장소,2022,0
강원,동해출장소,2023,0
강원,동해출장소,2024,0
강원,삼척시,2021,9578
강원,삼척시,2022,9514
강원,삼척시,2023,9162
강원,삼척시,2024,8703
강원,속초시,2021,12459
강원,속초시,2022,11867
강원,속초시,2023,11188
강원,속초시,2024,10718
강원,양구군,2021,3473
강원,양구군,2022,3286
강원,양구군,2023,3067
강원,양구군,2024,2983
강원,양양군,2021,3200
강원,양양군,2022,3030
강원,양양군,2023,2870
강원,양양군,2024,2764
강원,영월군,2021,4821
강원,영월군,2022,4574
강원,영월군,2023,4309
강원,영월군,2024,4088
강원,원주시,2021,60849
강원,원주시,2022,59203
강원,원주시,2023,57329
강원,원주시,2024,56014
강원,인제군,2021,4490
강원,인제군,2022,4339
강원,인제군,2023,4191
강원,인제군,2024,3972
강원,정선군,2021,4146
강원,정선군,2022,3914
강원,정선군,2023,3696
강원,정선군,2024,3444
강원,철원군,2021,6461
강원,철원군,2022,6001
강원,철원군,2023,5753
강원,철원군,2024,5374
강원,춘천시,2021,47880
강원,춘천시,2022,47208
강원,춘천시,2023,46648
강원,춘천시,2024,46271
강원,태백시,2021,5958
강원,태백시,2022,5633
강원,태백시,2023,5308
강원,태백시,2024,5010
강원,평창군,2021,4755
강원,평창군,2022,4598
강원,평창군,2023,4387
강원,평창군,2024,4231
강원,홍천군,2021,8754
강원,홍천군,2022,8118
강원,홍천군,2023,7606
강원,홍천군,2024,7198
강원,화천군,2021,3544
강원,화천군,2022,3203
강원,화천군,2023,3094
강원,화천군,2024,3104
강원,횡성군,2021,5633
강원,횡성군,2022,5433
강원,횡성군,2023,5176
강원,횡성군,2024,5016
경기,가평군,2021,7952
경기,가평군,2022,7571
경기,가평군,2023,7334
경기,가평군,2024,7033
경기,고양시,2021,181742
경기,고양시,2022,175120
경기,고양시,2023,169164
경기,고양시,2024,163192
경기,과천시,2021,12459
경기,과천시,2022,12866
경기,과천시,2023,13250
경기,과천시,2024,13612
경기,광명시,2021,50454
경기,광명시,2022,48495
경기,광명시,2023,46363
경기,광명시,2024,44909
경기,광주시,2021,58771
경기,광주시,2022,58221
경기,광주시,2023,57202
경기,광주시,2024,57466
경기,구리시,2021,31313
경기,구리시,2022,29803
경기,구리시,2023,28703
경기,구리시,2024,27715
경기,군포시,2021,44965
경기,군포시,2022,43118
경기,군포시,2023,41137
경기,군포시,2024,39005
경기,권선구,2021,59336
경기,권선구,2022,58022
경기,권선구,2023,56125
경기,권선구,2024,53995
경기,기흥구,2021,85118
경기,기흥구,2022,83340
경기,기흥구,2023,81482
경기,기흥구,2024,80098
경기,김포시,2021,81124
경기,김포시,2022,80770
경기,김포시,2023,81655
경기,김포시,2024,82551
경기,남양주시,2021,130464
경기,남양주시,2022,128699
경기,남양주시,2023,126363
경기,남양주시,2024,124573
경기,단원구,2021,52742
경기,단원구,2022,49418
경기,단원구,2023,47035
경기,단원구,2024,44684
경기,덕양구,2021,73909
경기,덕양구,2022,72565
경기,덕양구,2023,71664
경기,덕양구,2024,69437
경기,동두천시,2021,14635
경기,동두천시,2022,13936
경기,동두천시,2023,13111
경기,동두천시,2024,12469
경기,동안구,2021,55607
경기,동안구,2022,53986
경기,동안구,2023,52513
경기,동안구,2024,52874
경기,만안구,2021,34888
경기,만안구,2022,32723
경기,만안구,2023,31027
경기,만안구,2024,29647
경기,부천시,2021,125020
경기,부천시,2022,118145
경기,부천시,2023,112979
경기,부천시,2024,108022
경기,북부출장소,2021,0
경기,북부출장소,2022,0
경기,북부출장소,2023,0
경기,북부출장소,2024,0
경기,분당구,2021,88223
경기,분당구,2022,85989
경기,분당구,2023,82978
경기,분당구,2024,80955
경기,상록구,2021,63679
경기,상록구,2022,60368
경기,상록구,2023,56386
경기,상록구,2024,52779
경기,성남시,2021,150892
경기,성남시,2022,145462
경기,성남시,2023,141087
경기,성남시,2024,136916
경기,소사구,2021,0
경기,소사구,2022,0
경기,소사구,2023,0
경기,소사구,2024,31948
경기,송탄출장소,2021,0
경기,송탄출장소,2022,0
경기,송탄출장소,2023,0
경기,송탄출장소,2024,0
경기,수원시,2021,210372
경기,수원시,2022,204979
경기,수원시,2023,199857
경기,수원시,2024,194304
경기,수정구,2021,33078
경기,수정구,2022,31282
경기,수정구,2023,30913
경기,수정구,2024,30187
경기,수지구,2021,73345
경기,수지구,2022,72740
경기,수지구,2023,72127
경기,수지구,2024,71432
경기,시흥시,2021,88280
경기,시흥시,2022,86720
경기,시흥시,2023,86004
경기,시흥시,2024,84582
경기,안산시,2021,116421
경기,안산시,2022,109786
경기,안산시,2023,103421
경기,안산시,2024,97463
경기,안성시,2021,31000
경기,안성시,2022,30232
경기,안성시,2023,29552
경기,안성시,2024,29509
경기,안양시,2021,90495
경기,안양시,2022,86709
경기,안양시,2023,83540
경기,안양시,2024,82521
경기,안중출장소,2021,0
경기,안중출장소,2022,0
경기,안중출장소,2023,0
경기,안중출장소,2024,0
경기,양주시,2021,40934
경기,양주시,2022,41183
경기,양주시,2023,43634
경기,양주시,2024,45497
경기,양평군,2021,15896
경기,양평군,2022,15699
경기,양평군,2023,15522
경기,양평군,2024,15342
경기,여주시,2021,16393
경기,여주시,2022,15903
경기,여주시,2023,15351
경기,여주시,2024,14806
경기,연천군,2021,5707
경기,연천군,2022,5405
경기,연천군,2023,5153
경기,연천군,2024,4829
경기,영통구,2021,71754
경기,영통구,2022,69638
경기,영통구,2023,68634
경기,영통구,2024,67513
경기,오산시,2021,41811
경기,오산시,2022,41241
경기,오산시,2023,40835
경기,오산시,2024,41741
경기,오정구,2021,0
경기,오정구,2022,0
경기,오정구,2023,0
경기,오정구,2024,20028
경기,용인시,2021,202745
경기,용인시,2022,199356
경기,용인시,2023,196120
경기,용인시,2024,194837
경기,원미구,2021,0
경기,원미구,2022,0
경기,원미구,2023,0
경기,원미구,2024,56046
경기,의왕시,2021,26252
경기,의왕시,2022,24943
경기,의왕시,2023,23609
경기,의왕시,2024,22250
경기,의정부시,2021,76393
경기,의정부시,2022,73579
경기,의정부시,2023,71258
경기,의정부시,2024,68693
경기,이천시,2021,38326
경기,이천시,2022,37149
경기,이천시,2023,36117
경기,이천시,2024,35122
경기,일산동구,2021,51820
경기,일산동구,2022,49572
경기,일산동구,2023,47124
경기,일산동구,2024,45508
경기,일산서구,2021,56013
경기,일산서구,2022,52983
경기,일산서구,2023,50376
경기,일산서구,2024,48247
경기,장안구,2021,51776
경기,장안구,2022,49531
경기,장안구,2023,47540
경기,장안구,2024,46413
경기,중원구,2021,29591
경기,중원구,2022,28191
경기,중원구,2023,27196
경기,중원구,2024,25774
경기,처인구,2021,44282
경기,처인구,2022,43276
경기,처인구,2023,42511
경기,처인구,2024,43307
경기,파주시,2021,84002
경기,파주시,2022,83994
경기,파주시,2023,83007
경기,파주시,2024,83909
경기,팔달구,2021,27506
경기,팔달구,2022,27788
경기,팔달구,2023,27558
경기,팔달구,2024,26383
경기,평택시,2021,94747
경기,평택시,2022,94416
경기,평택시,2023,94053
경기,평택시,2024,93549
경기,포천시,2021,21730
경기,포천시,2022,20327
경기,포천시,2023,18850
경기,포천시,2024,17698
경기,풍양출장소,2021,0
경기,풍양출장소,2022,0
경기,풍양출장소,2023,0
경기,풍양출장소,2024,0
경기,하남시,2021,48544
경기,하남시,2022,49623
경기,하남시,2023,50756
경기,하남시,2024,51046
경기,화성시,2021,161904
경기,화성시,2022,164679
경기,화성시,2023,169404
경기,화성시,2024,172419
경기,화성시동부출장소,2021,0
경기,화성시동부출장소,2022,0
경기,화성시동부출장소,2023,0
경기,화성시동부출장소,2024,0
경기,화성시동탄출장소,2021,0
경기,화성시동탄출장소,2022,0
경기,화성시동탄출장소,2023,0
경기,화성시동탄출장소,2024,0
경남,거제시,2021,43749
경남,거제시,2022,42545
경남,거제시,2023,41802
경남,거제시,2024,41315
경남,거창군,2021,9543
경남,거창군,2022,9049
경남,거창군,2023,8777
경남,거창군,2024,8451
경남,고성군,2021,6432
경남,고성군,2022,6237
경남,고성군,2023,5905
경남,고성군,2024,5563
경남,김해시,2021,100648
경남,김해시,2022,97487
경남,김해시,2023,94551
경남,김해시,2024,91961
경남,남해군,2021,4759
경남,남해군,2022,4427
경남,남해군,2023,4175
경남,남해군,2024,3903
경남,마산합포구,2021,25438
경남,마산합포구,2022,24821
경남,마산합포구,2023,24587
경남,마산합포구,2024,24220
경남,마산회원구,2021,29892
경남,마산회원구,2022,28370
경남,마산회원구,2023,27117
경남,마산회원구,2024,26249
경남,밀양시,2021,12579
경남,밀양시,2022,12108
경남,밀양시,2023,11715
경남,밀양시,2024,11081
경남,사천남양출장소,2021,0
경남,사천남양출장소,2022,0
경남,사천남양출장소,2023,0
경남,사천남양출장소,2024,0
경남,사천시,2021,16407
경남,사천시,2022,15943
경남,사천시,2023,15682
경남,사천시,2024,15285
경남,산청군,2021,3386
경남,산청군,2022,3221
경남,산청군,2023,3013
경남,산청군,2024,2839
경남,성산구,2021,45469
경남,성산구,2022,42788
경남,성산구,2023,40600
경남,성산구,2024,38845
경남,양산시,2021,57535
경남,양산시,2022,56469
경남,양산시,2023,56026
경남,양산시,2024,55993
경남,양산시웅상출장소,2021,0
경남,양산시웅상출장소,2022,0
경남,양산시웅상출장소,2023,0
경남,양산시웅상출장소,2024,0
경남,의령군,2021,2502
경남,의령군,2022,2329
경남,의령군,2023,2180
경남,의령군,2024,2107
경남,의창구,2021,34858
경남,의창구,2022,33299
경남,의창구,2023,32156
경남,의창구,2024,30989
경남,장유출장소,2021,0
경남,장유출장소,2022,0
경남,장유출장소,2023,0
경남,장유출장소,2024,0
경남,진주시,2021,60655
경남,진주시,2022,58610
경남,진주시,2023,57381
경남,진주시,2024,56137
경남,진해구,2021,33887
경남,진해구,2022,33508
경남,진해구,2023,32783
경남,진해구,2024,32089
경남,창녕군,2021,6676
경남,창녕군,2022,6148
경남,창녕군,2023,5747
경남,창녕군,2024,5529
경남,창원시(통합),2021,169544
경남,창원시(통합),2022,162786
경남,창원시(통합),2023,157243
경남,창원시(통합),2024,152392
경남,통영시,2021,19751
경남,통영시,2022,19007
경남,통영시,2023,18489
경남,통영시,2024,18119
경남,하동군,2021,4598
경남,하동군,2022,4191
경남,하동군,2023,3881
경남,하동군,2024,3571
경남,함안군,2021,9024
경남,함안군,2022,8588
경남,함안군,2023,8189
경남,함안군,2024,7801
경남,함양군,2021,4618
경남,함양군,2022,4368
경남,함양군,2023,4140
경남,함양군,2024,3866
경남,합천군,2021,3981
경남,합천군,2022,3714
경남,합천군,2023,3461
경남,합천군,2024,3199
경북,경산시,2021,43498
경북,경산시,2022,43214
경북,경산시,2023,42768
경북,경산시,2024,43073
경북,경주시,2021,35596
경북,경주시,2022,33862
경북,경주시,2023,32621
경북,경주시,2024,31076
경북,고령군,2021,3355
경북,고령군,2022,3110
경북,고령군,2023,2927
경북,고령군,2024,2736
경북,구미시,2021,75279
경북,구미시,2022,73004
경북,구미시,2023,71359
경북,구미시,2024,69852
경북,군위군,2021,1693
경북,군위군,2022,1588
경북,군위군,2023,0
경북,군위군,2024,0
경북,김천시,2021,20652
경북,김천시,2022,19995
경북,김천시,2023,19377
경북,김천시,2024,18550
경북,남구,2021,36137
경북,남구,2022,34364
경북,남구,2023,33354
경북,남구,2024,31956
경북,문경시,2021,9421
경북,문경시,2022,9048
경북,문경시,2023,8449
경북,문경시,2024,7960
경북,봉화군,2021,2943
경북,봉화군,2022,2784
경북,봉화군,2023,2684
경북,봉화군,2024,2529
경북,북구,2021,43183
경북,북구,2022,41159
경북,북구,2023,39885
경북,북구,2024,39538
경북,상주시,2021,12291
경북,상주시,2022,11969
경북,상주시,2023,11521
경북,상주시,2024,10914
경북,성주군,2021,3920
경북,성주군,2022,3668
경북,성주군,2023,3477
경북,성주군,2024,3269
경북,안동시,2021,22955
경북,안동시,2022,22200
경북,안동시,2023,21434
경북,안동시,2024,22140
경북,영덕군,2021,3344
경북,영덕군,2022,3144
경북,영덕군,2023,2958
경북,영덕군,2024,2811
경북,영양군,2021,1523
경북,영양군,2022,1470
경북,영양군,2023,1392
경북,영양군,2024,1330
경북,영주시,2021,14697
경북,영주시,2022,14061
경북,영주시,2023,14204
경북,영주시,2024,13802
경북,영천시,2021,12069
경북,영천시,2022,11330
경북,영천시,2023,10738
경북,영천시,2024,10206
경북,예천군,2021,7032
경북,예천군,2022,7045
경북,예천군,2023,6979
경북,예천군,2024,6856
경북,울릉군,2021,879
경북,울릉군,2022,834
경북,울릉군,2023,816
경북,울릉군,2024,777
경북,울진군,2021,6098
경북,울진군,2022,5661
경북,울진군,2023,5407
경북,울진군,2024,5138
경북,의성군,2021,3776
경북,의성군,2022,3557
경북,의성군,2023,3482
경북,의성군,2024,3237
경북,청도군,2021,3789
경북,청도군,2022,3595
경북,청도군,2023,3384
경북,청도군,2024,3134
경북,청송군,2021,2030
경북,청송군,2022,1891
경북,청송군,2023,1809
경북,청송군,2024,1686
경북,칠곡군,2021,18525
경북,칠곡군,2022,17846
경북,칠곡군,2023,17041
경북,칠곡군,2024,16120
경북,포항시,2021,79320
경북,포항시,2022,75523
경북,포항시,2023,73239
경북,포항시,2024,71494
광주,광산구,2021,86682
광주,광산구,2022,83757
광주,광산구,2023,81001
광주,광산구,2024,77983
광주,남구,2021,39068
광주,남구,2022,37549
광주,남구,2023,36478
광주,남구,2024,35730
광주,동구,2021,15238
광주,동구,2022,15266
광주,동구,2023,15208
광주,동구,2024,14872
광주,북구,2021,75267
광주,북구,2022,72371
광주,북구,2023,69802
광주,북구,2024,68475
광주,서구,2021,54591
광주,서구,2022,51887
광주,서구,2023,49421
광주,서구,2024,46891
대구,군위군,2021,0
대구,군위군,2022,0
대구,군위군,2023,1457
대구,군위군,2024,1322
대구,남구,2021,18398
대구,남구,2022,17889
대구,남구,2023,17012
대구,남구,2024,16062
대구,달서구,2021,95436
대구,달서구,2022,91324
대구,달서구,2023,87223
대구,달서구,2024,83725
대구,달성군,2021,40811
대구,달성군,2022,40602
대구,달성군,2023,40658
대구,달성군,2024,40259
대구,동구,2021,47568
대구,동구,2022,45991
대구,동구,2023,45426
대구,동구,2024,44391
대구,북구,2021,76970
대구,북구,2022,74847
대구,북구,2023,70968
대구,북구,2024,67844
대구,서구,2021,19928
대구,서구,2022,18325
대구,서구,2023,17784
대구,서구,2024,16876
대구,수성구,2021,81960
